facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Kaka Medical Clinic,22998,Dispensaries and clinic-out patient only,Private,,,KAKAMEGA,Operating
KOPANGA DISPENSARY,22985,Basic primary health care facility,Public,,,MIGORI,Operating
Fairview Medical Centre,22977,Secondary care hospitals,Private,-1.288067,36.748322,NAIROBI,Operating
RADIANT GROUP OF HOSPITALS-UMOJA,22976,Secondary care hospitals,Private,,,NAIROBI,Operating
Songot Medical Clinic,22971,Basic primary health care facility,Private,,,TURKANA,Operating
Vital Solutions Health Centre,22967,Basic primary health care facility,Public,,,NAROK,Operating
St.Ann's Catholic Dispensary Kapsorok,22966,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Cat,,,KERICHO,Operating
Ankara Medical Centre,22963,Dispensaries and clinic-out patient only,Private,,,GARISSA,Operating
George Mudenyo Kadima Nasio Trust (Mumias West),22949,Basic primary health care facility,Private,,,KAKAMEGA,Operating
Nazareth Medical Services-Githurai,22948,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Penda Medical Care-Kahawa West,22946,Basic primary health care facility,Private,,,NAIROBI,Operating
The Mater Hospital-Satelite Clinic(TRM),22938,Basic primary health care facility,Kenya Episcopal Conference-Cat,,,NAIROBI,Operating
NAMUNYAK MEDICAL CENTRE,22936,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
THE MAZIRA MEMORIAL HOSPITAL,22934,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
PREMIERCARE DIAGNOSTICS NAROK LIMITED,22927,Radiology Clinic,Private,,,NAROK,Operating
Itoleka Smartext Medical Services,22918,Dispensaries and clinic-out patient only,Private,,,KITUI,Operating
Africare Limited Embakasi Clinic,22916,Basic primary health care facility,Private,-1.329814,36.887248,NAIROBI,Operating
AVENUE HEALTHCARE GREENSPAN,22915,Basic primary health care facility,Private,-1.288819,36.901192,NAIROBI,Operating
Yalatani Dispensary,22911,Basic primary health care facility,Public,,,KITUI,Operating
Musuani Mdc,22910,Dispensaries and clinic-out patient only,Private,,,KITUI,Operating
Musuani Medical Centre,22908,Dispensaries and clinic-out patient only,Private,,,KITUI,Operating
Muthangira Dispensary,22905,Basic primary health care facility,Public,,,NYERI,Operating
ST.TRESA'S OLK MEDICAL CLINIC,22904,Dispensaries and clinic-out patient only,Private,,,NYANDARUA,Operating
Kericho Medical Clinic,22900,Dispensaries and clinic-out patient only,Private,,,KERICHO,Operating
Orion Healthcare Medical Centre,22899,Basic primary health care facility,Private,,,BUSIA,Operating
COMMUNITY HEALTH SERVICE,22898,Dispensaries and clinic-out patient only,Private,,,MURANG'A,Operating
Kilele Medical Specialist Centre,22895,Dispensaries and clinic-out patient only,Private,-1.294309,36.873821,NAIROBI,Operating
Sanctuary Rains Medical Centre,22889,Basic primary health care facility,Private,,,NAIROBI,Operating
Highway Medical Clinic Mukuyuni,22882,Dispensaries and clinic-out patient only,Private,,,BUNGOMA,Operating
ScanHealth Limited-Kericho,22862,Radiology Clinic,Private,,,KERICHO,Operating
Aimo Dispensary,22860,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Saika Community Medical Centre,22857,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Selina's Health Care,22855,Basic primary health care facility,Private,,,NAIROBI,Operating
Naagis Dispensary,22853,Basic primary health care facility,Public Institution,,,TURKANA,Operating
Oasis Doctors Plaza Nairobi Green House,22851,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Karen Roses Medical Clinic,22850,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
South C Hospital Limited(South C),22844,Primary care hospitals,Private,,,NAIROBI,Operating
Our Mother of Perpetual Help Bamba Catholic Dispensary,22836,Dispensaries and clinic-out patient only,Private,,,KILIFI,Operating
Nasianda,22828,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
Gynocare womens &fistula hospital,22815,Secondary care hospitals,Private,,,UASIN GISHU,Operating
Quality care medical clinic,22814,Basic primary health care facility,Private,,,UASIN GISHU,Operating
Katsakakairu Disp,22812,Dispensaries and clinic-out patient only,Public,,,LAMU,Operating
Uziwa Dispensary,22808,Dispensaries and clinic-out patient only,Public,,,LAMU,Operating
Dago,22806,Basic primary health care facility,Public,,,KISUMU,Operating
South C Dialysis Centre,22805,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Tewe Dispensary,22804,Dispensaries and clinic-out patient only,Public,,,LAMU,Operating
Sinambio Disp,22803,Dispensaries and clinic-out patient only,Public,,,LAMU,Operating
MaishaMaish  Dispensary,22802,Dispensaries and clinic-out patient only,Public,,,LAMU,Operating
Holsoms Nursing Home,22795,Basic primary health care facility,Private,,,NYAMIRA,Operating
Chepsoo Medical Centre,22789,Dispensaries and clinic-out patient only,Private,,,NANDI,Operating
Agahkan Ngong Clinic,22788,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
Gertrude's Children Hospital-Thika Rd,22785,Basic primary health care facility,Private,,,NAIROBI,Operating
Equity Afia Kayole,22784,Dispensaries and clinic-out patient only,Company Medical Service,,,NAIROBI,Operating
Lomunyenekirionok dispensary,22779,Basic primary health care facility,Public,,,TURKANA,Operating
Rushi Medical Clinic,22778,Dispensaries and clinic-out patient only,Private,,,BUSIA,Operating
Blissfam medical centre,22777,Comprehensive primary health care facility,Private,,,KILIFI,Operating
st Angela Medical Centre,22776,Basic primary health care facility,Private,,,KAKAMEGA,Operating
Bethlehem Home Hospital,22775,Basic primary health care facility,Private,,,KISUMU,Operating
HEARTLANDS MEDICAL CENTRE,22773,Dispensaries and clinic-out patient only,Private,,,NAROK,Operating
Bliss M Clinic,22768,Dispensaries and clinic-out patient only,Private,,,KAKAMEGA,Operating
Jimba Dispensary,22766,Dispensaries and clinic-out patient only,Public,,,KILIFI,Operating
Rungut Dispensary,22764,Dispensaries and clinic-out patient only,Public Institution,,,KERICHO,Operating
Hope care medical centre,22762,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
MASAKA DISPENSARY,22759,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
EREGI TTC CLINIC,22758,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
LUKANJI HEALTH CLINIC,22757,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
Bahati Hospital - Malaa,22755,Basic primary health care facility,Private,,,MACHAKOS,Operating
Eastern Afya Medical Centre,22754,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
Ruai Family Hospital - Tala,22753,Comprehensive primary health care facility,Private,,,MACHAKOS,Operating
Lwakhakha Dispensary,22752,Basic primary health care facility,Public Institution,,,BUNGOMA,Operating
Get Well Clinic,22748,Dispensaries and clinic-out patient only,Private,,,KISUMU,Operating
OTIENDE OUTPATIENT CLINIC,22747,Dispensaries and clinic-out patient only,Private,,,HOMA BAY,Operating
KOTIENDE OUPATIENT CLINIC,22744,Basic primary health care facility,Private,,,HOMA BAY,Operating
Afya Bora Clinic(Busia),22740,Dispensaries and clinic-out patient only,Private,,,BUSIA,Operating
TOGONYE DISPENSARY,22704,Dispensaries and clinic-out patient only,Public,,,KIRINYAGA,Operating
Wananchi Clinic and Optician,22702,Basic primary health care facility,Private,,,EMBU,Operating
MAMAS NURSING HOME,22695,Comprehensive primary health care facility,Public,,,HOMA BAY,Operating
MAISHA CLINIC NDHIWA,22694,Basic primary health care facility,Public,,,HOMA BAY,Operating
KIAGUTHU DISPENSARY,22693,Basic primary health care facility,Public,,,NYERI,Operating
Cieni dispensary,22692,Dispensaries and clinic-out patient only,Public,,,NYERI,Operating
Palis Medical Clinic,22691,Basic primary health care facility,Private,,,KIRINYAGA,Operating
Kianjogu Dispensary,22690,Dispensaries and clinic-out patient only,Public,,,NYERI,Operating
Gathumbi Dispensary,22689,Dispensaries and clinic-out patient only,Public,,,NYERI,Operating
St. Akidiva Memorial,22688,Comprehensive primary health care facility,Faith-Based,,,NAROK,Operating
Faith CFW Clinic,22684,Dispensaries and clinic-out patient only,Public,,,EMBU,Operating
Patience CFW Clinic,22683,Dispensaries and clinic-out patient only,Public,,,EMBU,Operating
Tumaini CFW Clinic,22681,Dispensaries and clinic-out patient only,Public,,,EMBU,Operating
Africare Limited Eastleigh,22680,Basic primary health care facility,Private,,,NAIROBI,Operating
Mtwapa drop in and resource centre,22679,VCT,Public,,,KILIFI,Operating
Masii Medical Centre,22678,Basic primary health care facility,Private,,,MACHAKOS,Operating
Mwangea community Dispensary,22677,Dispensaries and clinic-out patient only,Public,,,KWALE,Operating
Unicure Medical Centre,22675,Basic primary health care facility,Private,,,KIRINYAGA,Operating
Endoscopy and Diagnostic Center Kerugoya,22674,Basic primary health care facility,Private,,,KIRINYAGA,Operating
Professor Wasuna Clinic,22673,Basic primary health care facility,Private,,,NAIROBI,Operating
Githima Disp,22672,Dispensaries and clinic-out patient only,Public,,,NYERI,Operating
machesa dispensary,22667,Dispensaries and clinic-out patient only,Public Institution,,,WAJIR,Operating
Kapkitony,22664,Basic primary health care facility,Public,,,BARINGO,Operating
Lokorkor Dispensary,22663,Basic primary health care facility,Public,,,TURKANA,Operating
Lobulono Dispensary,22661,Basic primary health care facility,Public Institution,,,TURKANA,Operating
Fountain Healthcare Ltd Bungoma,22652,Comprehensive primary health care facility,Private,,,BUNGOMA,Operating
CENTRAL MEDICAL CLINIC,22651,Dispensaries and clinic-out patient only,Private,,,KISII,Operating
Sirende medical clinic,22649,Dispensaries and clinic-out patient only,Private,,,TRANS NZOIA,Operating
Primecare medical centre,22648,Dispensaries and clinic-out patient only,Private,,,TRANS NZOIA,Operating
Bliss CVS Healthcare Limited Kapsabet,22643,Dispensaries and clinic-out patient only,Private,,,NANDI,Operating
Marysyl Medical Clinic,22642,Dispensaries and clinic-out patient only,Private,,,KAKAMEGA,Operating
Africare Ltd Karen Clinic,22639,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Koykoy Dispensary,22628,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
Chemichem Dispensary,22626,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
MAISHA HEALTH CARE CLINIC,22625,Basic primary health care facility,Public,,,HOMA BAY,Operating
Rafiki Health Centre,22624,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
Nzoia Medical Centre Chwele,22623,Basic primary health care facility,Private,,,BUNGOMA,Operating
Oltumusoi Dispensary,22622,Basic primary health care facility,Public,,,NAROK,Operating
Nzioa Medical Centre Chwele,22621,Basic primary health care facility,Private,,,BUNGOMA,Operating
Koinange Dispensary,22619,Basic primary health care facility,Public Institution,,,NYANDARUA,Operating
AFYALINK MEDICAL LABARATORIES,22614,Laboratory,Laboratory Technician/Technolo,,,KIRINYAGA,Operating
Gitunduti Medical Clinic,22610,Dispensaries and clinic-out patient only,Private,,,NYERI,Operating
ACK NGUNI CBHC ANNEX CLINIC,22609,Dispensaries and clinic-out patient only,Christian Health Association o,,,KITUI,Operating
Goshen Medical clinic,22607,Dispensaries and clinic-out patient only,Private,,,NYERI,Operating
Interlink Optical and Care Services,22606,Basic primary health care facility,Private,,,KIRINYAGA,Operating
Bwake,22601,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
Saboti Medical Clinic,22600,Pharmacy,Private,,,TRANS NZOIA,Operating
Chanuka Youth Centre,22599,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
Mercal Health Care Ltd,22598,Laboratory,Private,,,TRANS NZOIA,Operating
Aruba,22594,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
Dr.Stephen Kamore Wanjohi,22592,Basic primary health care facility,Private,-1.259882,36.815698,NAIROBI,Operating
Cheptobot,22591,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
GINGO COMMUNITY,22590,Basic primary health care facility,Private,,,HOMA BAY,Operating
SINDO MEDICAL CENTRE,22585,Basic primary health care facility,Private,,,HOMA BAY,Operating
Kesogon,22584,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
Kapsigilai,22583,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
KEMRI ALUPE HOSPITAL,22582,Primary care hospitals,Public,,,BUSIA,Operating
KARI TRC HOSPITAL,22581,Primary care hospitals,Public,,,BUSIA,Operating
KARI HOSPTAL,22580,Primary care hospitals,Public,,,BUSIA,Operating
Mutunyi Dispensary,22579,Dispensaries and clinic-out patient only,Public,,,MERU,Operating
Baibariu Dispensary,22577,Dispensaries and clinic-out patient only,Public,,,MERU,Operating
Kayos Dispensary Puiblic,22575,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Kayos Dispensary,22572,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Nyakoigwana Dispensary,22571,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Khalwenge Dispensary,22570,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Matumbei Dispensary,22569,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Twiga Dispensary,22568,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Kapkarwa,22567,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
Avenue Health Care Embakasi,22562,Basic primary health care facility,Private,-1.328153,36.889563,NAIROBI,Operating
CENTER VIEW MEDICAL HEALTH CARE,22557,Basic primary health care facility,Private,,,BUSIA,Operating
Kiptenden,22556,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
ST Marys' Health Care,22554,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Cat,,,KILIFI,Operating
Benard Vision Medical Center,22553,Dispensaries and clinic-out patient only,Company Medical Service,,,HOMA BAY,Operating
MILIMANI DISPENSARY,22551,Basic primary health care facility,Public,,,KAKAMEGA,Operating
Karaus Disp,22549,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Soy Mining Disp,22548,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Marinda Disp,22547,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Biketi Dispensary,22545,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
BUYEMI DISPENSARY,22544,Basic primary health care facility,Public,,,KAKAMEGA,Operating
Kaptain Dispensary,22541,Basic primary health care facility,Public,,,NYANDARUA,Operating
Imani Medical Centre(Kitui Central),22538,Dispensaries and clinic-out patient only,Private,,,KITUI,Operating
Alaro community dispensary,22533,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Okita Health Center,22532,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
mawego community medical centre,22531,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Ager community dispensary,22530,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Kabolet,22528,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
Bliss GVS Health care Limited,22523,Comprehensive primary health care facility,Private,,,NYERI,Operating
Diamension medical Labolatory,22522,Laboratory,Laboratory Technician/Technolo,,,NYERI,Operating
Transami Clinic,22521,Basic primary health care facility,Private,,,NAIROBI,Operating
Makololwe Dispensary,22520,Dispensaries and clinic-out patient only,Public,,,BUNGOMA,Operating
Namang'ofulo Dispensary,22519,Dispensaries and clinic-out patient only,Public,,,BUNGOMA,Operating
Tinashe Medical Centre,22516,Dispensaries and clinic-out patient only,Private,,,EMBU,Operating
Muromutua Dispensary,22515,Dispensaries and clinic-out patient only,Public,,,MERU,Operating
Kilera Dispensary,22514,Basic primary health care facility,Public,,,MERU,Operating
Kairuru Dispensary,22513,Basic primary health care facility,Public,,,MERU,Operating
Namwatikho Dispensary,22501,Dispensaries and clinic-out patient only,Community,,,BUNGOMA,Operating
Bukokholo Dispensary,22500,Dispensaries and clinic-out patient only,Public,,,BUNGOMA,Operating
Chitsanze Dispensary,22497,Dispensaries and clinic-out patient only,Public,,,KWALE,Operating
Nduumoni Dispensary,22495,Basic primary health care facility,Public,,,MAKUENI,Operating
RADHORE DISPENSARY,22493,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
GAENA,22492,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Mwomo Dispensary,22490,Dispensaries and clinic-out patient only,Public,,,BUNGOMA,Operating
Tupado Drop in Centre,22488,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Kajiado west medical clinic,22486,Basic primary health care facility,Private,,,KAJIADO,Operating
Graceheal Health Care,22484,Basic primary health care facility,Private,,,NAKURU,Operating
Otamba Dispensary,22483,Basic primary health care facility,Public,,,KISII,Operating
St. Jane Medical Clinic,22482,Dispensaries and clinic-out patient only,Private,,,KILIFI,Operating
Kilifi GK Prison VCT,22481,VCT,Prisons,,,KILIFI,Operating
Mwangaza Gen/Eye Clinic,22480,Dispensaries and clinic-out patient only,Private,,,NYERI,Operating
KIPASI COMMUNITY HEALTH CENTRE,22478,Basic primary health care facility,Public,,,HOMA BAY,Operating
Kimbo Dispensary,22477,Dispensaries and clinic-out patient only,Public,,,MERU,Operating
LITARE COMMUNITY HEALTH CENTRE,22476,Basic primary health care facility,Public,,,HOMA BAY,Operating
Bamako Dispensary,22475,Basic primary health care facility,Public,,,TAITA TAVETA,Operating
Rithika Medical And Counselling Centre Kangeta,22473,Dispensaries and clinic-out patient only,Private,,,MERU,Operating
Rithika Medical And Counselling Centre,22472,Dispensaries and clinic-out patient only,Private,,,MERU,Operating
Ubuntu Afya Manyatta,22471,Dispensaries and clinic-out patient only,Public,,,NYANDARUA,Operating
Mwangea Dispensary,22464,Basic primary health care facility,Public,,,TAITA TAVETA,Operating
Nyaramba Junction Medical Centre,22448,Dispensaries and clinic-out patient only,Private,,,NYAMIRA,Operating
Buxton Hospital,22447,Primary care hospitals,Private,,,MOMBASA,Operating
GATEWAY PEDIATRIC MEDICAL CLINIC,22446,Dispensaries and clinic-out patient only,Private,,,KIRINYAGA,Operating
GATAMAIYU BENJAMIN WELLNESS CENTRE,22445,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Linax medical centre,22444,Dispensaries and clinic-out patient only,Private,,,NAKURU,Operating
OptimuM current health care,22443,Dispensaries and clinic-out patient only,Private,,,NAKURU,Operating
CELIPHAM MEDICAL CLINIC,22442,Basic primary health care facility,Private,,,KIAMBU,Operating
Elwak Nursing Home,22412,Pharmacy,Private,,,MANDERA,Operating
ULTRAMED HEALTH CARE,22410,Dispensaries and clinic-out patient only,Private,,,KILIFI,Operating
Sasa,22408,VCT,Public,,,KIAMBU,Operating
Obwogre Dispensary,22407,Dispensaries and clinic-out patient only,Public,,,SIAYA,Operating
Uloma Dispensary,22406,Dispensaries and clinic-out patient only,Public,,,SIAYA,Operating
Tumaini DISC Clinic,22392,VCT,Public,,,SIAYA,Operating
Matibabu Ugunja Clinic,22383,Primary care hospitals,Public,,,SIAYA,Operating
NYAMUSI MEDICAL CENTER,22382,Basic primary health care facility,Private,,,NYAMIRA,Operating
Kithia Dispensary,22381,Dispensaries and clinic-out patient only,Public,,,MACHAKOS,Operating
Sere Dispensary (Nyamira north),22380,Dispensaries and clinic-out patient only,Public Institution,,,NYAMIRA,Operating
Nuclear Medical Laboratory,22378,Laboratory,Laboratory Technician/Technolo,,,NYERI,Operating
Lilyon Nursing Home,22377,Dispensaries and clinic-out patient only,Private,,,WEST POKOT,Operating
Sagatia Medical centre,22376,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
Jowasi Medical clinic,22375,Dispensaries and clinic-out patient only,Private,,,NYERI,Operating
MFANGANO COMMUNITY HEALTH CENTREM,22371,VCT,Public,,,HOMA BAY,Operating
Musyi Medical Clinic,22370,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
Sun Rise Medical Clinic,22369,Dispensaries and clinic-out patient only,Private,,,THARAKA-NITHI,Operating
Mt.Sinai Hospital,22365,Basic primary health care facility,Private,,,KISUMU,Operating
Chogoria Cospital Chuka Medical Center,22364,Dispensaries and clinic-out patient only,Faith-Based,,,THARAKA-NITHI,Operating
Lomidat dispensary,22363,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Lolupe (Turkana West) Dispensary,22360,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Locheredome (Turkana West) Dispensary,22359,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
sukut dispensary,22357,Basic primary health care facility,Public,,,WEST POKOT,Operating
The Almond Clinic,22356,Dispensaries and clinic-out patient only,Private,,,KITUI,Operating
Chrizah Medical Clinic,22355,Dispensaries and clinic-out patient only,Private,,,BUNGOMA,Operating
Kisumu Specialist Hospital,22354,Secondary care hospitals,Private,,,KISUMU,Operating
Komarock Modern Hospital Utawala,22352,Primary care hospitals,Private,,,NAIROBI,Operating
EURAKA MEDICAL CENTRE,22351,Basic primary health care facility,Private,-1.292219,36.819827,NAIROBI,Operating
SWOP Clinic Donholm,22349,Comprehensive primary health care facility,Public,,,NAIROBI,Operating
Facility Official Name * Nyamage,22348,Dispensaries and clinic-out patient only,Public,,,MIGORI,Operating
Gomba Medical Clinic,22347,Dispensaries and clinic-out patient only,Private,,,MOMBASA,Operating
Bacasavi Medical Clinic,22343,Dispensaries and clinic-out patient only,Private,,,TRANS NZOIA,Operating
Mitambo dispensary,22341,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Kibormos dispensary,22340,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
MFANGANO COMMUNITY HEALTH CENTRE,22338,VCT,Public,,,HOMA BAY,Operating
Maviaume Dispensary,22337,Basic primary health care facility,Public,,,MAKUENI,Operating
Rapha Healthcare Centre,22336,Dispensaries and clinic-out patient only,Private,,,KISUMU,Operating
"IOM MIGRATION HEALTH ASSESMENT CENTRE,KAKUMA",22335,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Avenue Health  Care Garden City Clinic,22333,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Gateway Health Services,22329,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
KIPASI COMMUNITY HEALTH CENTRE (Lambwe),22327,VCT,Public,,,HOMA BAY,Operating
mogondo dispensary,22325,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
Chaka Medical Clinic,22323,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Medicross Medical Clinic,22322,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Juja Modern Hospital & Maternity,22321,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Talana specialist centre,22319,Basic primary health care facility,Private,,,KAJIADO,Operating
REHOBOTH MEDICAL CLINIC,22316,Dispensaries and clinic-out patient only,Private,,,EMBU,Operating
ISHIARA HEALTH CARE CLINIC,22311,Dispensaries and clinic-out patient only,Private,,,EMBU,Operating
Machakos Central Clinic,22310,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
ISHIARA FOCUS MEDICAL CARE,22307,Dispensaries and clinic-out patient only,Private,,,EMBU,Operating
Homabay Central Medical Clinic (Homa Bay Central),22305,Dispensaries and clinic-out patient only,Private,,,HOMA BAY,Operating
OTARO,22303,Dispensaries and clinic-out patient only,Christian Health Association o,,,HOMA BAY,Operating
Oasis Doctors Plaza,22302,Dispensaries and clinic-out patient only,Private,,,HOMA BAY,Operating
Rachare Dispensary,22301,Basic primary health care facility,Public,,,SIAYA,Operating
Mazola Dispensary,22300,Dispensaries and clinic-out patient only,Public,,,KWALE,Operating
Nabuala Medical Centre,22299,Basic primary health care facility,Private,,,BUNGOMA,Operating
Phoenix Healthcare (Maua),22293,Comprehensive primary health care facility,Private,,,MERU,Operating
OBAMA DISPENSARY,22290,Dispensaries and clinic-out patient only,Public Institution,,,MIGORI,Operating
Nairiri Dispensary,22289,Basic primary health care facility,Public,,,UASIN GISHU,Operating
Solonamu medical centre,22285,Basic primary health care facility,Private,,,TRANS NZOIA,Operating
Galaxy Medical Centre-Ngatataek,22272,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
Whiterose Medical centre Gategi satellite,22271,Basic primary health care facility,Private,,,EMBU,Operating
Makutano Dispensary (Mwea),22270,Dispensaries and clinic-out patient only,Public,,,EMBU,Operating
Kangungi Dispensary,22269,Dispensaries and clinic-out patient only,Public,,,EMBU,Operating
Korakora Health Centre,13382,Basic primary health care facility,Public,,,GARISSA,Operating
Damasa Dispensary,22267,Basic primary health care facility,Public,,,MANDERA,Operating
Gari Dispensary,22265,Basic primary health care facility,Public,,,MANDERA,Operating
Bambo Dispensary (Waranqara),22264,Basic primary health care facility,Public,,,MANDERA,Operating
Kabo Dispensary,22262,Basic primary health care facility,Public,,,MANDERA,Operating
Alungu Dispensary,22261,Dispensaries and clinic-out patient only,Public,,,MANDERA,Operating
Mkondoni Dispensary,21541,Dispensaries and clinic-out patient only,Public,,,KILIFI,Operating
Sosobora Dispesary,21542,Dispensaries and clinic-out patient only,Public,,,KILIFI,Operating
Gianchere Dispensary,22258,Dispensaries and clinic-out patient only,Public,,,KISII,Operating
Makdavis Medical Clinic,22256,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
Lagsure Dispensary,22255,Basic primary health care facility,Public,,,MANDERA,Operating
Didkuro Dispensary,22254,Basic primary health care facility,Public,,,MANDERA,Operating
Qarsahama Dispensary,22253,Basic primary health care facility,Public,,,MANDERA,Operating
El-Danada Dispensary,22252,Dispensaries and clinic-out patient only,Public,,,MANDERA,Operating
Alpha Hill Medical Centre,22251,Primary care hospitals,Private,,,NANDI,Operating
Arrow Web Clinic,22239,Basic primary health care facility,Company Medical Service,-1.274196,36.915349,NAIROBI,Operating
KIHOME DISPENSARY,22238,Basic primary health care facility,Public,,,NYERI,Operating
THUNGURI DISPENSARY,22236,Basic primary health care facility,Public,,,NYERI,Operating
Kyondoni Dispensary (Kauwi),22229,Basic primary health care facility,Public,,,KITUI,Operating
MAISHA CLINIC,22222,Basic primary health care facility,Private,-1.26277,36.860188,HOMA BAY,Operating
Nyalunya Community Nursing Home,22220,Basic primary health care facility,Public,,,KISUMU,Operating
Kenya Red Cross Kalobeyei Health centre,22215,Primary care hospitals,Public,,,TURKANA,Operating
Wasio  dispensary,22207,Dispensaries and clinic-out patient only,Public,,,BUNGOMA,Operating
Roses Healthcare Clinc,22206,Basic primary health care facility,Private,,,NYANDARUA,Operating
GALAXY MEDICAL CENTRE,22205,Primary care hospitals,Private,,,KISII,Operating
LADACA,22204,Basic primary health care facility,Private,,,KISII,Operating
THE AVENUE MEDICAL AND DIAGNOSTIC CENTRE.,22201,Basic primary health care facility,Private,,,NYERI,Operating
Prince Alvin Medical Centre,22200,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Thika Heart Centre,22199,Basic primary health care facility,Private,,,KIAMBU,Operating
Kirege Dispensary,22198,Dispensaries and clinic-out patient only,Faith-Based,,,THARAKA-NITHI,Operating
Avenue Health Care-Eldoret Clinic,22197,Basic primary health care facility,Private,,,UASIN GISHU,Operating
Velma Memorial Medical Centre,22193,Comprehensive primary health care facility,Private,,,KIRINYAGA,Operating
Bongu Konyango Dispensary,22192,Dispensaries and clinic-out patient only,Public,,,KISUMU,Operating
Vuyika Dispensary,22191,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
Sigma Medical Centre,22189,Basic primary health care facility,Company Medical Service,,,EMBU,Operating
Uae Dispensary,22188,Dispensaries and clinic-out patient only,Public,,,KITUI,Operating
Bethsaida Family Hospital,22185,Basic primary health care facility,Private,,,MACHAKOS,Operating
Emmanuel community health clinic (Rware),22183,Basic primary health care facility,Private,,,NYERI,Operating
Faith medical Laboratory,22182,Laboratory,Private,-1.316597,36.866375,NYERI,Operating
Hope community Nursing services,22181,Dispensaries and clinic-out patient only,Private,,,NYERI,Operating
