facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Eshisiru Medical Cottage,20803,Dispensaries and clinic-out patient only,Private,,,KAKAMEGA,Operating
Ngaakaa Dispensary,20800,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Kisayani Dispensary,20792,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Naitiri Private Wing Clinic,20791,Dispensaries and clinic-out patient only,Private,,,BUNGOMA,Operating
Mathanguni Dispensary,20787,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Nzeeni Dispensary,20786,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Maaueli Dispensary,20785,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Itumbule (Makueni) Dispensary,20784,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Kwamutula (Kaliini) dispensary,20783,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Kikalu Dispensary,20769,Dispensaries and clinic-out patient only,Public,,,MACHAKOS,Operating
Biliqo Marara Dispensary,20768,Dispensaries and clinic-out patient only,Public,,,ISIOLO,Operating
Lchakwai  Dispensary,20764,Dispensaries and clinic-out patient only,Public,,,SAMBURU,Operating
Kuku Dispensary,20762,Dispensaries and clinic-out patient only,Public,,,KAJIADO,Operating
Oloirien Dispensary,20761,Dispensaries and clinic-out patient only,Public,,,KAJIADO,Operating
Buyangu Dispensary,20752,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
Motagara Health Centre (Nyamira),20750,Basic primary health care facility,Public,,,NYAMIRA,Operating
Prima Medical Centre,20748,Dispensaries and clinic-out patient only,Private,,,MOMBASA,Operating
Nice View Medical Centre,20746,Basic primary health care facility,Private,,,KWALE,Operating
Portreitz Youth Friendly Centre,20742,VCT,Public,,,MOMBASA,Operating
Regional Blood Transfusion Center (Coast),20741,Regional Blood Transfusion Centre,Public,,,MOMBASA,Operating
Chepkerer Dispensary,20740,Dispensaries and clinic-out patient only,Public,,,BUNGOMA,Operating
Daaba Dispensary,20739,Dispensaries and clinic-out patient only,Public,,,ISIOLO,Operating
Eagles Health Solution Clinic,20738,Dispensaries and clinic-out patient only,Private,,,MAKUENI,Operating
AIDS Health Care Foundation Parklands Clinic,20736,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Cheptagum Dispensary,20735,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
County Gate Medical Clinic,20734,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
Kalukuni Mission Dispensary,20733,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Cat,,,MACHAKOS,Operating
KRICH Dispensary,20730,Dispensaries and clinic-out patient only,Public,,,WEST POKOT,Operating
Lirhanda Mission Health Centre,20729,Dispensaries and clinic-out patient only,Faith-Based,,,KAKAMEGA,Operating
Kiwa Laboratory,20728,Laboratory,Private,,,MURANG'A,Operating
Bodo Medical Clinic,20726,Dispensaries and clinic-out patient only,Private,,,KWALE,Operating
Makueni GK Prison Dispensary,20722,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Janju Dispensary,20712,Dispensaries and clinic-out patient only,Public,,,GARISSA,Operating
Beramo Dispensary,20711,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
Ogaralle Dispensary,20708,Dispensaries and clinic-out patient only,Public,2.74726,40.20528,WAJIR,Operating
Burmayow Dispensary,20707,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
Dureweey Dispensary,20706,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
Kajaja 2 Dispensary,20705,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
Wargadud Dispensary(Tarbaj),20704,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
St. Rita Medical Services,20703,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
