facility_name,facility_code,facility_type,latitude,longitude,admin1,status,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
St Ann'S Medical Centre,28593,Medical Center,-1.1531963,36.63915,Kiambu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Newcastle Healthcare \u0026 Diagnostic Centre Ltp,28586,Medical Center,-1.29683,36.77389,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mtsangatamu Dispensary,28589,Dispensary,-4.20205,39.39757,Kwale,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Lunguma Dispensary,28584,Dispensary,-4.128602,39.498252,Kwale,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Royal Smiles,NA,Dental Clinic,-1.3275295,36.8968307,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Sir Osteen Medical Centre,28588,Medical Clinic,-0.251999,35.720819,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ngiluni Dispensary (Kitui Rural),12652,Dispensary,-1.50491,37.98213,Kitui,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tumaini Dice-Siaya,22173,Medical Clinic,0.0564714,34.291939,Siaya,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Migori T T C Dispensary,13806,Dispensary,-1.06719,34.4524,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ojele Memorial Hospital,13970,Primary care hospitals,-1.09793,34.46109,Migori,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nyarami Vct,17738,Medical Clinic,-1.06486,34.47666,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mama Nursing Home,20012,Nursing Homes,-1.08419,34.43966,Migori,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ashabit Medical Centre,23977,Medical Center,3.55208,40.87105,Mandera,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Matiku Dispensary,21915,Dispensary,-2.01714,37.46335,Makueni,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mt Zion Community Health Clinic,17269,Medical Clinic,-2.07979,37.47461,Makueni,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kiaoni Dispensary (Kibwezi),12281,Dispensary,-2.20358,38.05542,Makueni,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Makasa Dispensary (Nguu),22834,Dispensary,-2.102183,37.537005,Makueni,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
