facility_name,facility_code,facility_type,latitude,longitude,admin1,status,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Nyakeore Health Centre,24011,Basic Health Centre,-0.63943,34.98057,Nyamira,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Riongige Health Centre,14053,Basic Health Centre,-0.60653,34.95718,Nyamira,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Motontera Health Centre,13826,Basic Health Centre,-0.497,34.87824,Nyamira,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nyansangio Health Centre,13935,Basic Health Centre,-0.49882,34.88063,Nyamira,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Gidcare Medical Clinic,NA,Medical Clinic,-0.538699,35.253732,Bomet,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kakiteitei Dispensary,NA,Dispensary,1.844414,36.167881,Turkana,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
The Grace Favoured Clinic,NA,Medical Clinic,-1.84514,38.20746,Kitui,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Zamir medical centre LTD,NA,Medical Clinic,0.95818,38.53321,Isiolo,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Beacon of Kindness Community Medical Centre,NA,Medical Clinic,-1.040367,34.591995,Migori,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Savannah Diagnostic Centre Limited,NA,Medical Center,-1.26725,36.84507,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
St Marcus Hospital,NA,Medical Center,-1.05764,37.18698,Kiambu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
AAR Health Care (Kenya) Limited Eastleigh,NA,Medical Center,-1.27325,36.84507,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kilimani Childrens Clinic-Dennis pritt Branch,NA,Medical Clinic,-1.312052,36.837763,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
mary immaculate health care centre,NA,Basic Health Centre,-0.2709,36.148933,Nakuru,Operating,Other,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Hopekin Medical Services,34656,Medical Clinic,-1.395457,36.937798,Machakos,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Universal Dental Care,NA,Dental Clinic,-1.319444,36.896111,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Portbell Medical Centre,NA,Medical Center,-0.49525019,37.3513962,Kirinyaga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mlango Tatu Dispensary,34657,Dispensary,-0.01168,35.60793,Baringo,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ahaal Health Centre,34650,Comprehensive Health Centre,1.7675446,40.0139132,Wajir,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
IRAJ NURSING HOME,34653,Nursing and Maternity Home,3.678298,39.922807,Mandera,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
AGC Naroomoru Dispensary,34654,Dispensary,-1.6348800000000001,35.559743,Narok,Operating,Faith-Based / NGO,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Promed Dialysis Centre Ltd,34557,Primary care hospitals,-0.516069,37.172234,Kirinyaga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Penda Medical Centre-Utawala Mihang'o Nairobi,NA,Medical Center,-1.272663,36.949444,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Prudent Cottage Hospital(Matungulu),NA,Primary care hospitals,-1.282427,37.1649,Machakos,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kunene Health Centre,12391,Basic Health Centre,0.12382,37.72872,Meru,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Robins Healthcare Limited,18936,Primary care hospitals,0.23183,37.940153,Meru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Stanley Arusha Medical Clinic,34658,Medical Clinic,-4.291828,39.565086,Kwale,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Focus Clinical \u0026Diagnostic Centre Limited,NA,Medical Center,-0.720767,37.158643,Muranga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nyarongi Faith Based Hospital,34649,"Rehab. Center - Physiotherapy, Orthopaedic \u0026 Occupational Therapy",-0.996181,34.369706,Migori,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Wanini Kireri Magereza Level IV Hospital,34659,Primary care hospitals,-1.148157,36.93128,Kiambu,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Jusam Medical Clinic,NA,Medical Clinic,-4.489629,39.455983,Kwale,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Meru Family Medical Centre,24051,Medical Clinic,0.03667,37.65225,Meru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Milimani Luxum Hospital Limited,12527,Comprehensive Health Centre,0.04877,37.64115,Meru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
FARAJA MOYO MEDICAL AND WELLNESS CLINIC,NA,Medical Clinic,0.124841,37.834878,Meru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Jessy Ravi Medical Centre,NA,Primary care hospitals,-1.206887,36.920969,Kiambu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Riat Kong'ou Dispensary,34648,Dispensary,-0.841752,34.160762,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Pluma Medical Solutions Ltd,34651,Medical Clinic,-0.46442460658834367,37.03564602464914,Nyeri,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bonyancha Premier Medical Center,34646,Medical Clinic,-0.69645,34.68122,Kisii,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mariakani Community Health Care Services,16188,Specialized \u0026 Tertiary Referral hospitals,-3.85987,39.47604,Kilifi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Likoni Subcounty Hospital,11522,Primary care hospitals,-4.0850164,39.6532139,Mombasa,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dr Bahwell's Limited,NA,Medical Center,-1.2900502,36.7894751,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Neema Kagwe Clinic,NA,Medical Clinic,-1.005631,36.747558,Kiambu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kamiti Prison Health Centre,13000,Basic Health Centre,-1.17611,36.89343,Nairobi,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Hayat Hospital,22117,Dental Clinic,-1.2741395,36.844244,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nairobi Outpatient Gulf Ltd-Roasters,33812,"Rehab. Center - Physiotherapy, Orthopaedic \u0026 Occupational Therapy",-1.222379,36.872832,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mahanaim Medical Centre,34382,Medical Center,-1.221425,36.87967,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
East Mark Medical Centre,29903,Primary care hospitals,-1.2924128,36.8998649,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bliss Healthcare Limited-BBS Mall,34318,Medical Center,-1.27961,36.84604,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tumaini Wakwa,34230,Nutrition and Dietetics,-1.281574,36.715271,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Thamani Afya Health Services Ltd,34640,Medical Clinic,-1.1991583,36.9018338,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Aritae Medical Clinic,NA,Medical Clinic,3.53501,35.0203246,Turkana,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Multicare clinic,34635,Medical Clinic,-1.3104718,36.8914076,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Blevima Health Clinic,34641,Medical Clinic,-0.962593,34.796583,Narok,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
EMSC Childrens Hospital,34628,Medical Center,0.529491,35.24718,Uasin Gishu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nakwamoru Health Centre,15292,Comprehensive Health Centre,2.06372,35.42058,Turkana,Operating,Other,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kapelibok Dispensary,14700,Dispensary,2.130856,35.358086,Turkana,Operating,Other,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Pure Care Wellness Clinic Roadblock,34558,"Rehab. Center - Physiotherapy, Orthopaedic \u0026 Occupational Therapy",0.54807,35.24473,Uasin Gishu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
North Mark Hospital Ltd,34630,Medical Clinic,-0.82963,34.685603,Kisii,Non-Operational,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Benga Dispensary,21061,Basic Health Centre,0.31405,34.34289,Busia,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Amani Medical Clinic - Bububu,34636,Medical Clinic,-4.0823432,39.635404,Mombasa,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Garissa Eye Hospital LTD,34642,Medical Center,-0.455105,39.638372,Garissa,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Trendy Medimax Clinic and Lab Services,34632,Medical Clinic,-0.614563,34.7654,Kisii,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Fairview Nursing Home,22763,Medical Center,-0.502021,35.708551,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nebocare Health Services,34652,Medical Clinic,-0.4150977,36.9529315,Nyeri,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Faidi Geriatric Hospital Ltd,NA,Medical Clinic,0.595281,34.477185,Bungoma,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
GK Prison Dispensary (Kingongo) Annex,34627,Medical Clinic,-0.4174491,36.9591989,Nyeri,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kapelibok  Dispensary,34655,Dispensary,2.130856,35.358086,Turkana,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ashline Meeting Point Hospital Chokaa,34637,Medical Clinic,-1.2487605,36.9483721,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nyamira County HPT Stores,34588,Primary care hospitals,-0.558356,34.929305,Nyamira,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Chaani Medical Clinic Ltd,17698,Nutrition and Dietetics,-4.03151,39.62695,Mombasa,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tudor Sub County Hospital,11861,Primary care hospitals,-4.0406683,39.6642869,Mombasa,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mother Franciscan Mission Health Centre,15231,Primary care hospitals,0.2201992,35.073593,Nandi,Operating,Other,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Chemokonja Dispensary,17636,Dispensary,0.19971,35.01037,Nandi,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kauriong Health Centre,14820,Comprehensive Health Centre,2.09544,35.09494,West Pokot,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Samkar Medical Centre,34631,Medical Center,-0.7299,34.92571,Nyamira,Non-Operational,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Renice Medical Center,34623,Medical Clinic,-1.3827919,36.9409776,Machakos,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Denchriss medical center ltd,34624,Medical Clinic,-0.94065,35.39793,Bomet,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Lordan Health Care Clinic,NA,Medical Clinic,-1.321764,36.6500454,Kajiado,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kweleta Clinic,34622,Medical Clinic,-0.872001,35.030918,Bomet,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Yaqbarsadi Dispensary,27176,Dispensary,0.978354,38.656355,Isiolo,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Garbatulla Sub County Hospital,12029,Primary care hospitals,0.52697,38.51422,Isiolo,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Eremet Health Centre,12012,Basic Health Centre,0.44493,37.575268,Isiolo,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Delphkemmy,NA,Nutrition and Dietetics,-3.917982,39.7628089,Kilifi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nairobi Outpatient Gulf Limited-Matangi,34638,Medical Clinic,-1.13599,36.97824,Kiambu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Magutuni Sub County Hospital,12445,Primary care hospitals,-0.22513,37.73651,Tharaka Nithi,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Lomil Dispensary,15072,Dispensary,3.34238,35.23822,Turkana,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tongaren Model Health Centre,16152,Basic Health Centre,0.78832,34.9608,Bungoma,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ndalu Health Centre,16079,Basic Health Centre,0.84314,34.99304,Bungoma,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Lukhokhwe Dispensary,21406,Dispensary,0.79844,34.84269,Bungoma,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tabani Dispensary,20322,Dispensary,0.84866,34.94353,Bungoma,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mbururu Dispensary,30481,Dispensary,0.84172,35.04497,Kakamega,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Luka Premier Healthcare Limited,34272,Nursing and Maternity Home,0.263252,34.50606,Kakamega,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Chesongoch Mission Hospital,14386,Medical Center,1.12623,35.64294,Elgeyo Marakwet,Operating,Other,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Chechan Dispensary,14305,Dispensary,1.11307,35.63219,Elgeyo Marakwet,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Chesoi Health Centre,14385,Basic Health Centre,1.07013,35.59397,Elgeyo Marakwet,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kapchemuta Dispensary,18207,Dispensary,0.96912,35.5771,Elgeyo Marakwet,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kimnai   Dispensary,14874,Basic Health Centre,1.000001,35.455288,Elgeyo Marakwet,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Chebiemit Sub County Hospital,14294,Medical Center,0.85334,35.50237,Elgeyo Marakwet,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kapsowar (Aic) Hospital,14767,Primary care hospitals,0.98108,35.56081,Elgeyo Marakwet,Operating,Faith-Based / NGO,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Chebororwa Health Centre,14301,Comprehensive Health Centre,0.954211,35.392244,Elgeyo Marakwet,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
