facility_name,facility_code,facility_type,latitude,longitude,admin1,status,country,ownership,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Dickson,LL040340,Health Centre,-14.26626,33.65885,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Discovery clinic,LL040341,Clinic,-13.95818,33.79159,Centrals West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tambala,NT120344,Health Centre,-14.929733,34.598272,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dolo,CK270345,Health Centre,-16.55349,34.92423,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ginisi,ZA230347,Hospital,-15.28099,35.39935,South West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dopa,LL040348,Clinic,-13.88647,33.75712,Centrals West Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Doviko,NT120349,Dispensary,-15.0822,34.59094,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dowa DHO,DA020350,District Hospital,-13.65432,33.93625,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dowela,MZ160351,Clinic,-11.8988046,33.5940851,North Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ghumra,LL040352,Clinic,-13.98907,33.77412,Centrals West Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Chilemba,BT240353,Clinic,-15.7864,35.0008,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dr. Dzinyemba,BT240354,Clinic,-15.78609,35.00663,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Lorgat,LL040355,Clinic,-13.99049,33.77638,Centrals West Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dr. Msachi,MZ160357,Clinic,-11.457783,34.0171355,North Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dr. Kidys,BT240358,Hospital,-15.78662,35.00755,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
kampondeni,BT240359,Hospital,-15.81641,35.06629,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dwambazi,NK100360,Hospital,-12.23405,33.99194,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Banja lamtsogolo,NK100361,Clinic,-12.50975,34.1121,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Cane growers Clinic,NK100362,Clinic,-12.52114,34.1191,Central East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dwangwa,KU070363,Dispensary,-12.88142,33.4537,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dzabwa,LL040364,Health Post,-14.101941,33.568143,Centrals West Zone,Non-functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kapombeza,LL040365,Health Centre,-14.24936,33.44469,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
