facility_code,facility_name,zone,admin1,admin2,council,ward,village,facility_type,ownership_detail,status,latitude,longitude,year,strata,catchment_population,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,coordinate_source,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
100675-8,CANOSSA,Northern Zone,Arusha,Arusha,Arusha CC,Engutoto,Block J,Dispensary,Faith Based Organization (FBO),Operating,-3.45802,36.71262,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
124407-8,ARUSHA LIFECARE MEDICAL  CENTRE,Northern Zone,Arusha,Arusha,Arusha CC,Unga Ltd,Makaburi ya Baniani,Health Laboratory,For Profit,Operating,-3.37721,36.67611,2025,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2025-04-12,2025,TZA-000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
107809-6,TERRAT,Northern Zone,Arusha,Arusha,Arusha CC,Terrat,Kati,Dispensary,LGA,Operating,-3.454225,36.652426,2021,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2021-08-10,2021,TZA-000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
100909-1,COGI DARAJA II,Northern Zone,Arusha,Arusha,Arusha CC,Daraja 2,Ndarvoi,Dispensary,Faith Based Organization (FBO),Operating,-3.387378,36.690832,1997,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1997-09-06,1997,TZA-000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
109516-5,NADOSOITO,Northern Zone,Arusha,Arusha,Arusha CC,Terrat,Kati,Dispensary,LGA,Operating,-3.493953,36.681011,2013,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2013-07-06,2013,TZA-000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111552-6,AFYA MAX,Northern Zone,Arusha,Arusha,Arusha CC,Ngarenaro,Kambi ya Fisi,Clinic,Company/Business Name,Operating,-3.365947,36.675616,2016,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2016-10-10,2016,TZA-000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
102269-8,KAM Med,Northern Zone,Arusha,Arusha,Arusha CC,Themi,Old Police line,Health Center,For Profit,Operating,-3.378285,36.696048,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111489-1,KANAAN LAND,Northern Zone,Arusha,Arusha,Arusha CC,Kimandolu,Kitiangari,Dispensary,For Profit,Operating,-3.405768,36.644791,2016,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2016-11-03,2016,TZA-000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111784-5,KIMAHAMA,Northern Zone,Arusha,Arusha,Arusha CC,Levolosi,Levolos,Clinic,For Profit,Operating,-3.367506,36.68474,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
112007-0,SHAMSI,Northern Zone,Arusha,Arusha,Arusha CC,Elerai,Olmatejo A,Health Laboratory,For Profit,Operating,-3.37261,36.66517,2018,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2018-01-18,2018,TZA-000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
100188-2,ARUSHA LUTHERAN MEDICAL CENTRE CENTER,Northern Zone,Arusha,Arusha,Arusha CC,Levolosi,Levolos,Hospital,Faith Based Organization (FBO),Operating,-3.36626,36.68231,2008,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2008-01-10,2008,TZA-000011,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
108577-8,AGA KHAN,Northern Zone,Arusha,Arusha,Arusha CC,Kati,Pangani,Clinic,Faith Based Organization (FBO),Operating,-3.37077,36.68944,2024,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-09-10,2024,TZA-000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
105312-3,MOSHONO,Northern Zone,Arusha,Arusha,Arusha CC,Moshono,Moshono,Dispensary,LGA,Operating,-3.40497,36.7301,1970,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000013,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
109601-5,AICC,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Mahakama,Hospital,Parastatal,Operating,-3.37481,36.69946,1997,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1997-06-09,1997,TZA-000015,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
123541-5,SAFARI B,Northern Zone,Arusha,Arusha,Arusha CC,Oloirien,Mwanama,Health Laboratory,For Profit,Operating,-3.39156,36.71307,2024,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-02-13,2024,TZA-000016,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111844-7,JOBI,Northern Zone,Arusha,Arusha,Arusha CC,Ngarenaro,NHC,Dispensary,For Profit,Operating,-3.375044,36.676086,1993,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1993-06-14,1993,TZA-000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
124006-8,ST. MICHAEL HEALTH CARE,Northern Zone,Arusha,Arusha,Arusha CC,Sokon I,Sainevuno,Dispensary,For Profit,Operating,-3.38433,36.67871,2024,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-09-07,2024,TZA-000018,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111997-3,MORDEN,Northern Zone,Arusha,Arusha,Arusha CC,Unga Ltd,Tindiga,Health Laboratory,For Profit,Operating,-3.37521,36.67407,2017,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2017-06-22,2017,TZA-000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
112384-3,ARUSHA CITY,Northern Zone,Arusha,Arusha,Arusha CC,Engutoto,Block F,Hospital,LGA,Operating,-3.419736,36.704657,2021,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2021-10-17,2021,TZA-000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
124406-0,AFYARISE,Northern Zone,Arusha,Arusha,Arusha CC,Oloirien,Mwanama,Health Laboratory,For Profit,Operating,-6.45679,38.21149,2025,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2025-04-03,2025,TZA-000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
101379-6,HOLY FAMILY,Northern Zone,Arusha,Arusha,Arusha CC,Engutoto,Block C 1,Clinic,Faith Based Organization (FBO),Operating,-3.41223,36.70756,2019,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2019-09-06,2019,TZA-000022,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113632-4,FM HEALTH CARE,Northern Zone,Arusha,Arusha,Arusha CC,Kimandolu,Kitiangari,Health Laboratory,For Profit,Operating,-3.36734,36.72587,2019,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2019-04-24,2019,TZA-000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
106910-3,OLKEREYAN,Northern Zone,Arusha,Arusha,Arusha CC,Moshono,Olkereyan kati,Dispensary,LGA,Operating,-3.43613,36.72062,2005,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2005-09-09,2005,TZA-000024,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113640-7,SMART,Northern Zone,Arusha,Arusha,Arusha CC,Olasiti,Olasiti centre,Health Laboratory,For Profit,Operating,-3.405221,36.645555,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111223-4,TBL,Northern Zone,Arusha,Arusha,Arusha CC,Themi,Corridor Area,Dispensary,For Profit,Operating,-3.38329,36.69911,1988,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1988-01-05,1988,TZA-000026,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113622-5,MAJENGO,Northern Zone,Arusha,Arusha,Arusha CC,Elerai,Azimio,Health Laboratory,For Profit,Operating,-3.37093,36.66064,2019,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2019-10-28,2019,TZA-000028,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
107868-2,TOTAL CARE,Northern Zone,Arusha,Arusha,Arusha CC,Themi,Corridor Area,Health Center,For Profit,Operating,-3.39064,36.70467,2009,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2009-02-02,2009,TZA-000029,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
100187-4,ARUSHA HEALTH CENTRE FOR WOMEN,Northern Zone,Arusha,Arusha,Arusha CC,Kaloleni,Mita 200,Health Center,For Profit,Operating,-3.36106,36.68535,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000030,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
100192-4,ARUSHA X-RAY CENTRE,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,AICC,Dispensary,For Profit,Operating,-3.36579,36.699,1997,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1997-09-06,1997,TZA-000031,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
109812-8,MATEVES,Northern Zone,Arusha,Arusha,Arusha CC,Olasiti,Ngaramtoni chini,Dispensary,LGA,Operating,-3.359082,36.601756,1983,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1983-01-07,1983,TZA-000032,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113551-6,BARAA,Northern Zone,Arusha,Arusha,Arusha CC,Baraa,Kwa Mrefu,Health Laboratory,For Profit,Operating,-3.37256,36.7378,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000033,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110873-7,AVETI,Northern Zone,Arusha,Arusha,Arusha CC,Kaloleni,Kaloleni Mashariki,Clinic,For Profit,Operating,-3.36314,36.69035,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000034,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
102755-6,KIJENGE RC,Northern Zone,Arusha,Arusha,Arusha CC,Oloirien,Roman Catholic,Dispensary,Faith Based Organization (FBO),Operating,-3.3816,36.70815,1997,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1997-07-09,1997,TZA-000036,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
112912-1,St Joseph Health Care International,Northern Zone,Arusha,Arusha,Arusha CC,Elerai,Sakina,Hospital,Company/Business Name,Operating,-3.360253,36.658594,2020,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2020-07-08,2020,TZA-000037,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
109790-6,TANGANYIKA PACKERS,Northern Zone,Arusha,Arusha,Arusha CC,Moshono,Olkereyan kati,Dispensary,Military,Operating,-3.408887,36.745975,2008,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2008-01-07,2008,TZA-000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
112001-3,MICO PALLOT,Northern Zone,Arusha,Arusha,Arusha CC,Sokon I,Kanisani,Health Laboratory,For Profit,Operating,-3.38373,36.67416,2018,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2018-06-22,2018,TZA-000039,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
103490-9,LEVOLOSI,Northern Zone,Arusha,Arusha,Arusha CC,Levolosi,Levolos,Health Center,LGA,Operating,-3.37227,36.6799,1978,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1978-01-07,1978,TZA-000041,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110462-9,DOSIL,Northern Zone,Arusha,Arusha,Arusha CC,Olasiti,Olkereyan,Dispensary,For Profit,Operating,-3.4102,36.658531,2020,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2020-03-09,2020,TZA-000042,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113627-4,BETHELI,Northern Zone,Arusha,Arusha,Arusha CC,Oloirien,Suye,Health Laboratory,For Profit,Operating,-3.386244,36.726143,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000043,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
121157-2,BARAA,Northern Zone,Arusha,Arusha,Arusha CC,Baraa,Sorenyi,Dispensary,LGA,Operating,-3.3794400000000002,36.73552,2022,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2022-07-01,2022,TZA-000045,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
112918-8,BANK OF TANZANIA,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Goliondoi,Clinic,For Profit,Operating,-3.36951,36.69325,2018,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2018-09-10,2018,TZA-000046,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
104331-4,MARIE STOPES,Northern Zone,Arusha,Arusha,Arusha CC,Levolosi,Majengo,Dispensary,NGOs,Operating,-3.375013,36.684394,1993,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1993-08-04,1993,TZA-000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
101462-0,ITHNAASHERI CHARITABLE,Northern Zone,Arusha,Arusha,Arusha CC,Levolosi,Majengo,Clinic,Faith Based Organization (FBO),Operating,-3.37424,36.68132,2020,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2020-11-19,2020,TZA-000051,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
123643-9,ADN CARE,Northern Zone,Arusha,Arusha,Arusha CC,Kimandolu,Kijenge Kaskazini,Health Center,Company/Business Name,Operating,-3.37589,36.70298,2024,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-04-06,2024,TZA-000053,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
106891-5,OLD ARUSHA,Northern Zone,Arusha,Arusha,Arusha CC,Themi,Corridor Area,Health Center,For Profit,Operating,-3.37439,36.69686,2011,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2011-01-08,2011,TZA-000054,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111488-3,ST RAPHAEL,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Sanawari,Dispensary,For Profit,Operating,-3.36065,36.69618,2024,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-07-09,2024,TZA-000055,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113629-0,SMART,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Mahakama,Clinic,Company/Business Name,Operating,-3.37187,36.69877,2019,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2019-08-11,2019,TZA-000056,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
122602-6,NORLAN,Northern Zone,Arusha,Arusha,Arusha CC,Moshono,Kalimaji,Dispensary,For Profit,Operating,-3.45573,36.72421,2023,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2023-04-03,2023,TZA-000057,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
120897-4,HAYAAT,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Mahakama,Clinic,Company/Business Name,Operating,-3.37051,36.69912,2019,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2019-05-19,2019,TZA-000058,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113549-0,VICTORY,Northern Zone,Arusha,Arusha,Arusha CC,Kimandolu,Kijenge kusini,Health Laboratory,For Profit,Operating,-3.37681,36.70717,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000059,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110725-9,OLORIEN COMMUNITY,Northern Zone,Arusha,Arusha,Arusha CC,Oloirien,Moivoi,Dispensary,Faith Based Organization (FBO),Operating,-3.38774,36.71161,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000060,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111974-2,SEKEI,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Mahakama,Health Laboratory,For Profit,Operating,-3.36287,36.70447,2001,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2001-04-01,2001,TZA-000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111491-7,JMS HUMAN HEALTH,Northern Zone,Arusha,Arusha,Arusha CC,Kaloleni,Kaloleni Magharibi,Dispensary,For Profit,Operating,-3.365352,36.689535,2016,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2016-10-10,2016,TZA-000065,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
112836-2,LARUSA,Northern Zone,Arusha,Arusha,Arusha CC,Kaloleni,Kaloleni Mashariki,Clinic,For Profit,Operating,-3.369451,36.686845,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000066,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110831-5,COGI AMAN OLASITI,Northern Zone,Arusha,Arusha,Arusha CC,Olasiti,Olkereyan,Dispensary,Faith Based Organization (FBO),Operating,-3.41753,36.65603,2010,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2010-10-13,2010,TZA-000067,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111964-3,CITY CENTRE,Northern Zone,Arusha,Arusha,Arusha CC,Kati,Bondeni,Health Laboratory,For Profit,Operating,-3.36786,36.68499,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000068,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
106358-5,NGARENARO,Northern Zone,Arusha,Arusha,Arusha CC,Levolosi,Majengo,Health Center,LGA,Operating,-3.37346,36.68146,1990,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1990-07-01,1990,TZA-000069,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111956-9,NZUNDUKA,Northern Zone,Arusha,Arusha,Arusha CC,Sombetini,Kirika A,Health Laboratory,For Profit,Operating,-3.38012,36.65985,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000070,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
101134-5,FARAJA,Northern Zone,Arusha,Arusha,Arusha CC,Levolosi,Majengo,Dispensary,For Profit,Operating,-3.37231,36.68135,2011,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2011-04-26,2011,TZA-000072,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
122268-6,HEIN,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Naurei,Clinic,For Profit,Operating,-3.36193,36.69596,2022,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2022-12-14,2022,TZA-000073,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113550-8,FORWARD MODERN,Northern Zone,Arusha,Arusha,Arusha CC,Sokon I,Madukani,Health Laboratory,For Profit,Operating,-3.39125,36.673492,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000074,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
107008-5,POLICE,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Naura,Dispensary,Police,Operating,-3.36811,36.69189,1979,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1979-07-15,1979,TZA-000075,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
105112-7,MKONOO,Northern Zone,Arusha,Arusha,Arusha CC,Terrat,Laitayock,Health Center,LGA,Operating,-3.46341,36.69805,1975,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1975-05-01,1975,TZA-000076,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113623-3,WELINESS,Northern Zone,Arusha,Arusha,Arusha CC,Sombetini,Simanjiro,Dispensary,For Profit,Operating,-3.386351,36.660058,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000077,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113552-4,AVINTA CARE,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Mahakama,Health Laboratory,For Profit,Operating,-3.37622,36.7024,2018,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2018-11-07,2018,TZA-000080,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
121333-9,A TO Z,Northern Zone,Arusha,Arusha,Arusha CC,Olmoti,Ngaramtoni ya Chini,Dispensary,Company/Business Name,Operating,-3.38333,36.59226,2022,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2022-06-16,2022,TZA-000081,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111998-1,KIAZE,Northern Zone,Arusha,Arusha,Arusha CC,Sakina,Sakina,Health Laboratory,For Profit,Operating,-3.36279,36.67261,2016,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2016-12-30,2016,TZA-000082,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113628-2,HEALTH4ALL,Northern Zone,Arusha,Arusha,Arusha CC,Themi,Corridor Area,Clinic,For Profit,Operating,-3.373656,36.699567,2018,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2018-01-04,2018,TZA-000083,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
109552-0,DARAJA II,Northern Zone,Arusha,Arusha,Arusha CC,Daraja 2,Ally Nyanya,Health Center,LGA,Operating,-3.38057,36.68765,1961,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1961-01-07,1961,TZA-000084,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
107527-4,SOMBETINI,Northern Zone,Arusha,Arusha,Arusha CC,Sombetini,Kirika A,Dispensary,LGA,Operating,-3.39463,36.665003,2010,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2010-07-06,2010,TZA-000085,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
123163-8,CABRIM,Northern Zone,Arusha,Arusha,Arusha CC,Sokon I,Lolovono,Dispensary,For Profit,Operating,-3.40549,36.66653,2023,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2023-10-31,2023,TZA-000086,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
114594-5,MOSHONO,Northern Zone,Arusha,Arusha,Arusha CC,Moshono,Moshono,Health Center,LGA,Operating,-3.44421,36.7151,2020,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2020-01-10,2020,TZA-000087,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
101224-4,GLORIA,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Sanawari,Dispensary,Faith Based Organization (FBO),Operating,-3.361671,36.697168,2017,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2017-06-11,2017,TZA-000088,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
123183-6,YOUHEAL,Northern Zone,Arusha,Arusha,Arusha CC,Baraa,Siara,Clinic,For Profit,Operating,-3.38578,36.72323,2023,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2023-11-03,2023,TZA-000090,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113542-5,MICO SAJE,Northern Zone,Arusha,Arusha,Arusha CC,Muriet,Muriet,Dispensary,For Profit,Operating,-3.430558,36.678524,2020,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2020-03-09,2020,TZA-000091,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
107817-9,THEMI,Northern Zone,Arusha,Arusha,Arusha CC,Themi,Themi Mashariki,Health Center,LGA,Operating,-3.39838,36.70107,2004,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2004-08-12,2004,TZA-000093,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110726-7,SHAMAH,Northern Zone,Arusha,Arusha,Arusha CC,Sokon I,Olevolos,Dispensary,Faith Based Organization (FBO),Operating,-3.384721,36.681034,2012,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2012-05-03,2012,TZA-000094,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
124005-0,CITYSMILE,Northern Zone,Arusha,Arusha,Arusha CC,Kimandolu,Kijenge kusini,Clinic,Company/Business Name,Operating,-3.38156,36.70945,2024,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-09-09,2024,TZA-000097,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
112005-4,USANDA,Northern Zone,Arusha,Arusha,Arusha CC,Terrat,Mlimani,Health Laboratory,For Profit,Operating,-3.42054,36.65796,2017,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2017-11-24,2017,TZA-000098,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
114497-1,ST GEMA,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Mahakama,Health Center,For Profit,Operating,-3.37477,36.69964,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000099,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
