facility_code,facility_name,zone,admin1,admin2,council,ward,village,facility_type,ownership_detail,status,latitude,longitude,year,strata,catchment_population,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,coordinate_source,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
123671-0,MAC,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kinyerezi,Kinyerezi,Health Laboratory,Company/Business Name,Operating,-6.84381,39.17029,2024,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-04-28,2024,TZA-002570,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
120416-3,AGA KHAN,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Mchafukoge,Mchafukoge,Clinic,Faith Based Organization (FBO),Operating,-6.82893,39.28424,2019,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2019-11-08,2019,TZA-002571,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110524-6,CCP MEDICINE MEDICAL CENTER,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kinyerezi,Kinyerezi,Clinic,For Profit,Operating,-6.841209,39.148093,2013,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2013-10-23,2013,TZA-002572,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
122576-2,AFYA JAMII,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipunguni,Kipunguni 'B',Dispensary,Company/Business Name,Operating,-6.90825,39.17826,2023,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2023-03-23,2023,TZA-002576,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110533-7,ARAFA MOOD,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Tabata,Tabata kisiwani,Dispensary,Faith Based Organization (FBO),Operating,-6.820831,39.216935,2003,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2003-03-02,2003,TZA-002577,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110550-1,TABATA KISIWANI,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Tabata,Tabata kisiwani,Dispensary,LGA,Operating,-6.830199,39.226479,2008,Low,1896813,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2008-01-07,2008,TZA-002578,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
100136-1,APOLLO MEDICAL CENTRE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Mchafukoge,Mchafukoge,Hospital,For Profit,Operating,-6.81857,39.28314,2024,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-07-22,2024,TZA-002579,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110562-6,MVULENI,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Msongola,Mvuleni,Dispensary,LGA,Operating,-7.010228,39.161697,2013,Low,1896813,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2013-01-01,2013,TZA-002580,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
100139-5,ARAFA LULU,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Vingunguti,Miembeni,Dispensary,Faith Based Organization (FBO),Operating,-6.90797,39.20252,2010,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2010-01-07,2010,TZA-002581,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
114678-6,DR. MANGO,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Segerea,Migombani,Clinic,For Profit,Operating,-6.844123,39.14492,2016,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2016-01-02,2016,TZA-002584,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110586-5,UKONGA CHUO CHA MAAFISA MAGEREZA,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ukonga,Mwembe Madafu,Health Center,Prisons,Operating,-6.88259,39.18215,1994,Low,1896813,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1994-01-01,1994,TZA-002585,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
102382-9,KARIAKOO,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kariakoo,Kariakoo kaskazini,Dispensary,For Profit,Operating,-6.81983,39.27571,1974,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1974-07-07,1974,TZA-002587,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
107528-2,SOMEDICS HEALTH CARE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Magharibi,Charambe,Clinic,For Profit,Operating,-6.81162,39.27405,2013,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2013-03-07,2013,TZA-002588,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
123358-4,MVUTI MAGEREZA,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Msongola,Kiboga,Dispensary,Prisons,Operating,-7.06846,39.10601,2023,Low,1896813,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2023-06-01,2023,TZA-002589,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111436-2,GALLILEE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Mzinga,Mzinga,Dispensary,For Profit,Operating,-6.91777,39.17614,2015,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2015-01-04,2015,TZA-002590,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110606-1,UFUNUO,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kivule,Kivule,Clinic,Faith Based Organization (FBO),Operating,-6.93838,39.18037,2022,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2022-12-24,2022,TZA-002591,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
121055-8,TABATA,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Tabata,Tabata,Clinic,Company/Business Name,Operating,-6.83011,39.22732,2023,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2023-11-06,2023,TZA-002592,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110610-3,ANE AFYA CARE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ukonga,Mongo la ndege,Dispensary,For Profit,Operating,-6.863498,39.167459,2015,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2015-12-05,2015,TZA-002593,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
107029-1,POVERTY AFRICA KITUNDA CHARITABLE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kitunda,Kitunda kati,Dispensary,NGOs,Operating,-6.89903,39.19764,2003,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2003-02-07,2003,TZA-002594,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
124398-9,MARATA,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kitunda,Kitunda kati,Clinic,For Profit,Operating,-6.90091,39.19681,2025,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2025-02-28,2025,TZA-002595,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
104067-4,MAJOHE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Majohe,Zavala,Health Center,LGA,Operating,-6.91611,39.13251,1976,Low,1896813,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1976-01-01,1976,TZA-002596,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110561-8,KUNDY,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Segerea,Ugombolwa,Clinic,For Profit,Operating,-6.83588,39.20128,2024,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-09-12,2024,TZA-002597,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
123171-1,EPICAL,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kinyerezi,Kinyerezi,Dispensary,Company/Business Name,Operating,-6.84304,39.17243,2023,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2023-10-29,2023,TZA-002598,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
122740-4,ASANTE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Gongo la Mboto,G/Mboto,Health Laboratory,For Profit,Operating,-6.88293,39.15523,2023,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2023-06-09,2023,TZA-002601,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
100413-4,BONYOKWA,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kinyerezi,Bonyokwa,Dispensary,LGA,Operating,-6.8344,39.15959,2012,Low,1896813,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2012-09-07,2012,TZA-002602,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
105267-9,MUHIMBILI ORTHOPAEDIC INSTITUTE (MOI),Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Magharibi,Fire,Hospital,MoH,Operating,-6.80321,39.2708,1996,Low,1896813,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1996-09-07,1996,TZA-002603,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110671-5,HEARWELL AUDIOLOGY,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Magharibi,Fire,Clinic,Company/Business Name,Operating,-6.80291,39.27563,2012,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2012-10-07,2012,TZA-002605,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
123500-1,SYNAPSE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Magharibi,Charambe,Physiotherapy Clinic,Company/Business Name,Operating,-6.81419,39.29388,2024,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-02-07,2024,TZA-002606,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
123845-0,AM,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Majohe,Kichangani,Health Laboratory,For Profit,Operating,-6.90657,39.14254,2024,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-07-29,2024,TZA-002607,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111829-8,TIFFANY DENTAL,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Magharibi,Mfaume,Clinic,For Profit,Operating,-6.81357,39.27316,2024,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-10-24,2024,TZA-002609,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
100166-8,ARAFA SES CHARITABLE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Segerea,Segerea,Dispensary,Faith Based Organization (FBO),Operating,-6.84449,39.19694,2009,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2009-04-21,2009,TZA-002610,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
112229-0,AGA KHAN UKONGA,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Kipunguni,Clinic,Faith Based Organization (FBO),Operating,-6.86637,39.19892,2024,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-07-11,2024,TZA-002612,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
104407-2,MASIKA,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Majohe,Kichangani,Dispensary,For Profit,Operating,-6.91736,39.14254,2024,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-10-29,2024,TZA-002614,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
101055-2,EBRAHIM HAJI,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Mchafukoge,Mchafukoge,Health Center,Faith Based Organization (FBO),Operating,-6.81461,39.28372,1997,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1997-08-09,1997,TZA-002615,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
109459-8,TYMA MTAMBANI VINGUNGUTI,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Vingunguti,Mtambani,Dispensary,Faith Based Organization (FBO),Operating,-6.84514,39.233223,2009,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2009-05-11,2009,TZA-002617,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111807-4,MICO MACHIMBO,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipunguni,Kipunguni 'B',Dispensary,NGOs,Operating,-6.90671,39.18429,2010,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2010-12-10,2010,TZA-002618,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
122331-2,GFJ,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kinyerezi,Kinyerezi,Clinic,For Profit,Operating,-6.85526,39.18397,2022,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2022-12-27,2022,TZA-002619,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
107880-7,TANZANIA RAILWAYS CORPORATION (TRC),Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Gerezani,Gerezani Mashariki,Dispensary,Parastatal,Operating,-6.82656,39.27888,1997,Low,1896813,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1997-06-09,1997,TZA-002620,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
114679-4,ST MATHAYO,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Majohe,Kichangani,Dispensary,Company/Business Name,Operating,-6.924025,39.144958,2019,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2019-05-27,2019,TZA-002621,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
115355-0,MBONDOLE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Msongola,Mbondole,Dispensary,LGA,Operating,-6.91777,39.17614,2021,Low,1896813,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2021-10-02,2021,TZA-002622,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
124089-4,JITEGEMEE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Chanika,Tunguni,Health Laboratory,Company/Business Name,Operating,-6.95536,39.09524,2024,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-11-05,2024,TZA-002626,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
112761-2,EYE EMPORIUM,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kisutu,Kisutu,Clinic,For Profit,Operating,-6.81619,39.28584,2024,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-09-27,2024,TZA-002627,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
113403-0,AMREF HEALTH AFRICA,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Mashariki,Kitonga,Health Laboratory,For Profit,Operating,-6.80899,39.28654,2022,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2022-06-30,2022,TZA-002628,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
110764-8,FAMILY,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Mchafukoge,Mchafukoge,Clinic,For Profit,Operating,-6.81741,39.28549,2024,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-07-12,2024,TZA-002630,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
114664-6,Cons Tabata Chama,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kimanga,Darajani,Dispensary,For Profit,Operating,-6.827426,39.215141,1970,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-002634,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
100464-7,BUGURUNI ANGLICAN,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Buguruni,Malapa,Health Center,Faith Based Organization (FBO),Operating,-6.83882,39.23907,1997,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1997-08-09,1997,TZA-002635,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
103198-8,KITUNDA,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kitunda,Kitunda kati,Dispensary,LGA,Operating,-6.90225,39.19791,1977,Low,1896813,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1977-02-05,1977,TZA-002636,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
114187-8,KINYEREZI EYE CENTRE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kinyerezi,Kinyerezi,Clinic,For Profit,Operating,-6.825362,39.230854,2019,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2019-06-26,2019,TZA-002637,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
121050-9,MJ MEDICAL LABORATORY,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kisukuru,Kisukuru,Health Laboratory,Investor(For Foreigners),Operating,-6.80391,39.15983,2022,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2022-04-14,2022,TZA-002638,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
124107-4,THE CURE,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Magharibi,Charambe,Clinic,Company/Business Name,Operating,-6.80579,39.27609,2024,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2024-11-07,2024,TZA-002639,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
123285-9,ENOCK,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Majohe,Kichangani,Health Laboratory,For Profit,Operating,-6.91376,39.13996,2023,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2023-12-11,2023,TZA-002642,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
112777-8,PHAVIEW (T) LTD,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kisutu,Mtendeni,Clinic,For Profit,Operating,-6.81578,39.28251,2016,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2016-05-24,2016,TZA-002643,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
100692-3,CHADIBWA,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ukonga,Mwembe Madafu,Dispensary,For Profit,Operating,-6.88167,39.1688,2019,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2019-02-27,2019,TZA-002645,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
122673-7,ELITE MEDICAL,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Chanika,Lukooni,Health Laboratory,For Profit,Operating,-7.00195,39.08321,2023,Low,1896813,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2023-04-18,2023,TZA-002647,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
