adm1,adm2,year,month,alls_ts,dhis2_ts,raw_positive_u5,raw_positive_all_ages,imput_u5,imput_all_ages,pred_counts_u5,pred_counts_all_ages,pop_u5,pop_total,alls_ts_pop_u5,alls_ts_pop_total,dhis2_ts_pop_u5,dhis2_ts_pop_total,pred_inc_u5,pred_inc_all_ages,pfpr_rdt
Alibori,Karimama,2021,1,0.5897427797317505,0.5716416239738464,297,898,297,898,818.462280273438,2407.28874962238,14805,83293,8731.141853928566,49121.44535219669,8463.154242932796,47613.74578565359,0.055282828792532115,0.028901453298865207,0.259766007572525
Alibori,Karimama,2021,2,0.5897427797317505,0.5716416239738464,208,742,208,742,917.705139160156,2565.43413178784,14805,83293,8731.141853928566,49121.44535219669,8463.154242932796,47613.74578565359,0.06198616272611658,0.030800116838003676,0.269452677372404
Alibori,Karimama,2021,3,0.5897427797317505,0.5716416239738464,297,996,297,996,905.821594238281,2321.78700770974,14805,83293,8731.141853928566,49121.44535219669,8463.154242932796,47613.74578565359,0.061183491674318205,0.027874935561328563,0.269852402956997
Alibori,Karimama,2021,4,0.5897427797317505,0.5716416239738464,77,212,77,212,828.400817871094,2130.31078097348,14805,83293,8731.141853928566,49121.44535219669,8463.154242932796,47613.74578565359,0.055954124813988114,0.02557610820805446,0.252139209689002
Alibori,Karimama,2021,5,0.5897427797317505,0.5716416239738464,22,88,22,88,751.474670410156,1992.74630787903,14805,83293,8731.141853928566,49121.44535219669,8463.154242932796,47613.74578565359,0.050758167538679906,0.02392453516957043,0.233058317184652
Alibori,Karimama,2021,6,0.5897427797317505,0.5716416239738464,347,826,347,826,774.375854492188,2175.16517951689,14805,83293,8731.141853928566,49121.44535219669,8463.154242932796,47613.74578565359,0.05230502225546693,0.02611462163107212,0.228457038159655
Alibori,Karimama,2021,7,0.5897427797317505,0.5716416239738464,781,1827,781,1827,1133.67932128906,3322.00063657809,14805,83293,8731.141853928566,49121.44535219669,8463.154242932796,47613.74578565359,0.07657408451800472,0.039883311161539266,0.27611212622419
Alibori,Karimama,2021,8,0.5897427797317505,0.5716416239738464,1354,2857,1354,2857,1606.27514648438,4444.55317039894,14805,83293,8731.141853928566,49121.44535219669,8463.154242932796,47613.74578565359,0.10849545062373388,0.053360464509609934,0.392254285864919
Alibori,Karimama,2021,9,0.5897427797317505,0.5716416239738464,962,2115,962,2115,1134.54028320312,2799.18077577405,14805,83293,8731.141853928566,49121.44535219669,8463.154242932796,47613.74578565359,0.07663223797386828,0.033606434823743286,0.429831457761812
Alibori,Karimama,2021,10,0.5897427797317505,0.5716416239738464,1461,2639,1461,2639,1002.34350585938,2329.63713614291,14805,83293,8731.141853928566,49121.44535219669,8463.154242932796,47613.74578565359,0.06770303990944816,0.027969182718150506,0.395424982032609
Alibori,Karimama,2021,11,0.5897427797317505,0.5716416239738464,643,1465,643,1465,1253.96826171875,3043.33870498189,14805,83293,8731.141853928566,49121.44535219669,8463.154242932796,47613.74578565359,0.08469897073412698,0.03653774873016808,0.389209669249148
Alibori,Karimama,2021,12,0.5897427797317505,0.5716416239738464,307,876,307,876,876.152221679688,2145.49978936875,14805,83293,8731.141853928566,49121.44535219669,8463.154242932796,47613.74578565359,0.05917948136978642,0.02575846456927653,0.358568559181832
Alibori,Karimama,2022,1,0.5897427797317505,0.5716416239738464,238,769,238,769,606.382690429688,1528.04190087936,15041,85621,8870.32114994526,50494.36654341221,8598.061666190624,48944.527486264706,0.04031531749416182,0.017846578536566494,0.304532743335884
Alibori,Karimama,2022,2,0.5897427797317505,0.5716416239738464,247,655,247,655,936.043884277344,2533.36214895923,15041,85621,8870.32114994526,50494.36654341221,8598.061666190624,48944.527486264706,0.06223282257013124,0.029588093446224994,0.314387841925333
Alibori,Karimama,2022,3,0.5897427797317505,0.5716416239738464,352,936,352,936,1372.49035644531,3422.98983528345,15041,85621,8870.32114994526,50494.36654341221,8598.061666190624,48944.527486264706,0.091249940592069,0.039978391227426094,0.369734860126432
Alibori,Karimama,2022,4,0.5897427797317505,0.5716416239738464,263,657,263,657,1112.26965332031,2428.77509122912,15041,85621,8870.32114994526,50494.36654341221,8598.061666190624,48944.527486264706,0.07394918245597433,0.02836658169408346,0.358306374926604
Alibori,Karimama,2022,5,0.5897427797317505,0.5716416239738464,241,594,241,594,710.147033691406,1417.17018398303,15041,85621,8870.32114994526,50494.36654341221,8598.061666190624,48944.527486264706,0.04721408375050901,0.01655166587616391,0.28050532870357
Alibori,Karimama,2022,6,0.5897427797317505,0.5716416239738464,276,682,276,682,780.711181640625,1981.78996779127,15041,85621,8870.32114994526,50494.36654341221,8598.061666190624,48944.527486264706,0.05190553697497673,0.023146073601000572,0.229852548602595
Alibori,Karimama,2022,7,0.5897427797317505,0.5716416239738464,814,1665,814,1665,1043.7900390625,2951.26838351316,15041,85621,8870.32114994526,50494.36654341221,8598.061666190624,48944.527486264706,0.0693963193313277,0.03446897821227456,0.246530871414219
Alibori,Karimama,2022,8,0.5897427797317505,0.5716416239738464,1436,2838,1436,2838,1208.63586425781,3474.67927568008,15041,85621,8870.32114994526,50494.36654341221,8598.061666190624,48944.527486264706,0.08035608432004587,0.04058209172609617,0.299089054899525
Alibori,Karimama,2022,9,0.5897427797317505,0.5716416239738464,930,1897,930,1897,832.655395507812,2610.69303452548,15041,85621,8870.32114994526,50494.36654341221,8598.061666190624,48944.527486264706,0.05535904497758208,0.030491270068388362,0.327191927804823
Alibori,Karimama,2022,10,0.5897427797317505,0.5716416239738464,1676,2953,1676,2953,554.194396972656,1600.26917390461,15041,85621,8870.32114994526,50494.36654341221,8598.061666190624,48944.527486264706,0.03684558187438708,0.01869014814011294,0.316512205859205
Alibori,Karimama,2022,11,0.5897427797317505,0.5716416239738464,751,1646,810.452081621676,1705.452081621676,965.509948730469,2553.8966868523,15041,85621,8870.32114994526,50494.36654341221,8598.061666190624,48944.527486264706,0.06419187213153839,0.029827924070640378,0.313066145953774
